Overall Rank�,CityState,Total Score�,Positive, Neutral, Negative, Emotional & Physical Well-Being�,Income & Employment�,Community & Environment,lat,lon,ST,State,City
1,"Fremont, CA",73.66,1,46,779,184,41,5,37.550195,-121.980829,CA,California,Fremont
2,"Bismarck, ND",71.59,5,5,23,46.87696,-96.784636,ND,North Dakota,Bismarck
3,"Fargo, ND",70.94,9,3,17,46.80537,-100.781609,ND,North Dakota,Fargo
4,"Madison, WI",70.14,13,6,14,37.334807,-121.888128,WI,Wisconsin,Madison
5,"San Jose, CA",69.47,2,21,75,43.073926,-89.385244,CA,California,San Jose
6,"South Burlington, VT",68.73,8,11,61,44.468286,-73.171594,VT,Vermont,South Burlington
7,"Lincoln, NE",68.35,14,10,20,40.813599,-96.70261,NE,Nebraska,Lincoln
8,"Columbia, MD",67.73,4,95,102,41.978122,-91.669808,MD,Maryland,Columbia
9,"Cedar Rapids, IA",67.64,11,74,19,39.213641,-76.869905,IA,Iowa,Cedar Rapids
10,"Santa Rosa, CA",67.59,7,32,33,38.439698,-122.715642,CA,California,Santa Rosa
11,"Sioux Falls, SD",67.43,24,23,12,33.685908,-117.824719,SD,South Dakota,Sioux Falls
12,"Irvine, CA",67.27,15,18,31,43.488765,-96.743185,CA,California,Irvine
13,"San Francisco, CA",67.11,3,15,131,37.78008,-122.420168,CA,California,San Francisco
14,"Pearl City, HI",66.58,16,114,6,21.398204,-157.968395,HI,Hawaii,Pearl City
15,"Burlington, VT",66.19,26,1,111,44.475949,-73.212481,VT,Vermont,Burlington
16,"Minneapolis, MN",65.98,6,28,115,32.77647,-79.931027,MN,Minnesota,Minneapolis
17,"Plano, TX",65.87,21,44,26,33.019695,-96.697586,TX,Texas,Plano
18,"Charleston, SC",65.1,43,16,9,44.977479,-93.264346,SC,South Carolina,Charleston
19,"Rapid City, SD",65,51,14,1,44.082995,-103.224443,SD,South Dakota,Rapid City
20,"Seattle, WA",64.74,10,2,161,47.603229,-122.33028,WA,Washington,Seattle
21,"Boise, ID",64.55,33,13,46,43.615791,-116.201579,ID,Idaho,Boise
22,"Honolulu, HI",64.45,19,112,15,21.30992,-157.858158,HI,Hawaii,Honolulu
23,"Portland, ME",64.4,32,17,74,33.494909,-111.926061,ME,Maine,Portland
24,"St. Paul, MN",64.31,22,56,66,44.943719,-93.094281,MN,Minnesota,St. Paul
25,"Scottsdale, AZ",64.22,53,48,3,43.659218,-70.256519,AZ,Arizona,Scottsdale
26,"San Diego, CA",64.17,30,39,25,32.71576,-117.163817,CA,California,San Diego
27,"Austin, TX",64.13,20,24,94,30.264979,-97.746598,TX,Texas,Austin
28,"Overland Park, KS",64.09,41,12,30,38.974799,-94.683622,KS,Kansas,Overland Park
29,"Missoula, MT",63.76,29,19,83,42.965446,-85.670209,MT,Montana,Missoula
30,"Grand Rapids, MI",63.56,48,20,16,46.872129,-113.994017,MI,Michigan,Grand Rapids
31,"Cape Coral, FL",63.23,54,52,4,26.629814,-81.956363,FL,Florida,Cape Coral
32,"Raleigh, NC",62.97,28,70,67,35.781295,-78.64167,NC,North Carolina,Raleigh
33,"Huntington Beach, CA",62.95,25,64,98,33.659775,-117.999313,CA,California,Huntington Beach
34,"Aurora, CO",62.56,17,150,47,39.711213,-104.819356,CO,Colorado,Aurora
35,"Omaha, NE",62.53,46,26,36,41.258652,-95.937195,NE,Nebraska,Omaha
36,"Des Moines, IA",62.33,37,88,29,33.330732,-111.79034,IA,Iowa,Des Moines
37,"Gilbert, AZ",62.09,62,47,13,35.996948,-78.899023,AZ,Arizona,Gilbert
38,"Oakland, CA",61.38,12,127,147,41.588822,-93.620309,CA,California,Oakland
39,"Durham, NC",61.18,34,49,80,37.804828,-122.27248,NC,North Carolina,Durham
40,"Garden Grove, CA",60.81,45,96,32,33.776069,-117.937878,CA,California,Garden Grove
41,"Anaheim, CA",60.81,40,87,55,33.834492,-117.915638,CA,California,Anaheim
42,"Aurora, IL",60.57,31,152,73,41.75527,-88.309507,IL,Illinois,Aurora
43,"Portland, OR",60.52,35,41,118,33.195906,-117.379517,OR,Oregon,Portland
44,"Oceanside, CA",60.5,36,101,60,45.516018,-122.681425,CA,California,Oceanside
45,"Chula Vista, CA",60.24,38,111,54,32.640071,-117.084042,CA,California,Chula Vista
46,"Virginia Beach, VA",60.09,49,80,43,36.845117,-75.975518,VA,Virginia,Virginia Beach
47,"Oxnard, CA",60.02,64,109,10,34.197663,-119.175947,CA,California,Oxnard
48,"Nampa, ID",59.97,70,60,18,43.585322,-116.573581,ID,Idaho,Nampa
49,"Chandler, AZ",59.86,67,76,24,33.302285,-111.840103,AZ,Arizona,Chandler
50,"Nashua, NH",59.84,59,40,56,42.75787,-71.46395,NH,New Hampshire,Nashua
51,"Washington, DC",59.59,23,69,166,33.575086,-112.237314,DC,District Of Columbia,Washington
52,"Peoria, AZ",59.43,77,92,8,27.273274,-80.342148,AZ,Arizona,Peoria
