user,lat,lon,user, tweetid, tweetcontent, date
22077441,43.009815,-83.710408,22077441,10489251528,Wine makes me feel good ! Lol,2010-03-14 17:57:52
17145858,38.856217,-90.056057,17145858,10373782279,@MellyJHart Just went to check netflix for #ninedead and saw I can instantly watch it! That made my day! :),2010-03-12 8:23:46
33931268,42.52548,-73.770351,33931268,10408062935,Why Hate on me ....jus be yaself and enjoy like ....Hatin requires too much energy,2010-03-12 22:52:29
19521541,40.735051,-74.228224,19521541,9000698413,Tired as hell,2010-02-12 2:27:41
26976263,34.096153,-118.368732,26976263,10393393070,I love Tequilla! We bonded lastnight twice for the first time in 6 weeks..and it was good,2010-03-12 16:36:46
1441801,33.952136,-117.383026,1441801,3547441288,Funniest thing tonight is watching heidi montag perform on the miss universe pageant (yeah hulu). For sers? Who is she kidding?,2009-08-25 20:33:40
16048138,34.158187,-118.371964,16048138,9401413730,RT @PRMisses: RT @briannafanna: Life is too short to be mad at your loved ones. Forgive and move on. #tweetforthought,2010-02-20 16:23:13
22398295,34.053721,-118.275423,22398295,9031609746,@Songirl Thanks for sharing the LOVE!,2010-02-12 0:00:00
18705069,33.886434,-118.096787,18705069,10146290618,OMG currently taking the BEST pee I have ever had in my life! =),2010-03-07 0:00:00
47893791,25.58973,-100.275703,47893791,10145982880,I dont like the hair style of Tina Fey #oscars,2010-03-07 0:00:00
33890321,40.709022,-73.784337,33890321,10258841976,Hungry as hell!,2010-03-09 23:56:49
20550617,28.471762,-81.452212,20550617,10043150943,An Amazing Friday! Lets do it Big 2nite @ManorChicago,2010-03-05 15:36:58
14589971,25.651042,-100.338093,14589971,8132515890,@Anfetas GRACIAS,2010-01-23 19:59:46
17538568,29.647386,-95.171716,17538568,6338392319,@Sonya624 i miss you,2009-12-04 8:38:53
32677911,27.858981,-82.331178,32677911,9889959210,That Coca Cola Slurppy hit the S-P-O-T. Haven't had one since like '03,2010-03-02 14:31:04
18710552,40.647863,-73.922868,18710552,10349399276,ha ha ha too funny...http://www.youtube.com/watch?v=Bjk_XGbIoSY&feature=grec,2010-03-11 19:31:06
44382895,45.518489,-122.658694,44382895,10384758344,@_Tiganca_ That sucks! Sorry to hear your co-workers are royal douchebags. No one should have to work on their birthday.,2010-03-12 12:47:50
36848986,27.944584,-82.693365,36848986,10088776032,Ohh how I hate this place!,2010-03-06 14:39:20
